catchment,date,month,leadtime,CRPS,CRPS_ref,CRPSS,count
A,2017_10,10,4,38.277,13.667,-1.801,0.0
A,2017_11,11,4,23.396,10.36,-1.258,0.0
A,2017_12,12,4,10.489,22.388,0.531,1.0
A,2018_1,1,4,39.34,73.129,0.462,1.0
A,2018_2,2,4,179.365,155.545,-0.153,0.0
A,2018_3,3,4,81.208,101.258,0.198,1.0
A,2018_4,4,4,73.018,47.985,-0.522,0.0
A,2018_5,5,4,107.917,51.023,-1.115,0.0
A,2018_6,6,4,111.15,83.226,-0.336,0.0
A,2018_7,7,4,187.193,51.377,-2.644,0.0
A,2018_8,8,4,221.952,84.599,-1.624,0.0
A,2018_9,9,4,91.141,93.212,0.022,1.0
A,2018_10,10,4,33.02,76.276,0.567,1.0
A,2018_11,11,4,7.914,28.267,0.72,1.0
A,2018_12,12,4,12.802,16.822,0.239,1.0
A,2019_1,1,4,34.49,11.789,-1.926,0.0
A,2019_2,2,4,84.329,31.698,-1.66,0.0
A,2019_3,3,4,50.543,89.215,0.433,1.0
A,2019_4,4,4,112.851,163.365,0.309,1.0
A,2019_5,5,4,126.449,317.217,0.601,1.0
A,2019_6,6,4,100.55,222.979,0.549,1.0
A,2019_7,7,4,47.994,154.744,0.69,1.0
A,2019_8,8,4,43.997,71.14,0.382,1.0
A,2019_9,9,4,28.626,75.54,0.621,1.0
A,2019_10,10,4,11.566,109.888,0.895,1.0
A,2019_11,11,4,57.624,109.481,0.474,1.0
A,2019_12,12,4,11.451,53.075,0.784,1.0
A,2020_1,1,4,35.458,28.946,-0.225,0.0
A,2020_2,2,4,34.082,18.668,-0.826,0.0
A,2020_3,3,4,48.869,59.66,0.181,1.0
A,2020_4,4,4,28.36,53.924,0.474,1.0
A,2020_5,5,4,223.24,79.774,-1.798,0.0
A,2020_6,6,4,240.493,95.978,-1.506,0.0
A,2020_7,7,4,306.285,104.1,-1.942,0.0
A,2020_8,8,4,122.287,146.251,0.164,1.0
A,2020_9,9,4,25.498,45.365,0.438,1.0
A,2020_10,10,4,34.225,35.147,0.026,1.0
A,2020_11,11,4,33.099,11.142,-1.971,0.0
A,2020_12,12,4,11.043,10.599,-0.042,0.0
A,2011_1,1,5,115.5,101.653,-0.136,0.0
A,2011_2,2,5,365.53,375.626,0.027,1.0
A,2011_3,3,5,681.948,559.155,-0.22,0.0
A,2011_4,4,5,759.1,529.851,-0.433,0.0
A,2011_5,5,5,736.606,422.367,-0.744,0.0
A,2011_6,6,5,655.649,397.324,-0.65,0.0
A,2011_7,7,5,497.337,161.82,-2.073,0.0
A,2011_8,8,5,59.686,63.877,0.066,1.0
A,2011_9,9,5,27.975,42.216,0.337,1.0
A,2011_10,10,5,12.065,12.537,0.038,1.0
A,2011_11,11,5,36.169,26.893,-0.345,0.0
A,2011_12,12,5,8.302,46.85,0.823,1.0
A,2012_1,1,5,12.408,18.617,0.334,1.0
A,2012_2,2,5,19.152,28.498,0.328,1.0
A,2012_3,3,5,61.626,43.965,-0.402,0.0
A,2012_4,4,5,128.731,55.866,-1.304,0.0
A,2012_5,5,5,238.463,57.746,-3.13,0.0
A,2012_6,6,5,200.427,56.375,-2.555,0.0
A,2012_7,7,5,175.323,59.356,-1.954,0.0
A,2012_8,8,5,97.265,74.335,-0.308,0.0
